Date,Open
06/14/2021,"12,462.80"
06/11/2021,"12,373.71"
06/10/2021,"12,354.70"
06/09/2021,"12,363.49"
06/08/2021,"12,379.46"
06/07/2021,"12,375.91"
06/04/2021,"12,386.73"
06/03/2021,"12,268.37"
06/02/2021,"12,165.07"
06/01/2021,"12,114.46"
05/31/2021,"12,162.51"
05/28/2021,"12,096.93"
05/27/2021,"12,116.70"
05/26/2021,"12,093.20"
05/25/2021,"12,090.93"
05/24/2021,"12,138.29"
05/21/2021,"12,049.56"
05/20/2021,"12,194.69"
05/19/2021,"12,167.15"
05/18/2021,"12,175.32"
05/17/2021,"12,041.98"
05/12/2021,"12,028.47"
05/11/2021,"12,056.54"
05/10/2021,"12,012.39"
05/07/2021,"12,009.95"
05/06/2021,"11,954.30"
05/05/2021,"11,910.59"
05/04/2021,"11,855.49"
05/03/2021,"11,784.62"
04/30/2021,"11,799.46"
04/29/2021,"11,782.54"
04/28/2021,"11,746.34"
04/27/2021,"11,729.18"
04/26/2021,"11,739.44"
04/23/2021,"11,714.26"
04/22/2021,"11,682.67"
04/21/2021,"11,701.36"
04/20/2021,"11,663.55"
04/19/2021,"11,669.34"
04/16/2021,"11,634.57"
04/15/2021,"11,619.35"
04/14/2021,"11,607.26"
04/13/2021,"11,617.16"
04/12/2021,"11,579.84"
04/09/2021,"11,556.42"
04/08/2021,"11,526.37"
04/07/2021,"11,529.92"
04/06/2021,"11,533.11"
04/05/2021,"11,572.95"
04/02/2021,"11,552.78"
04/01/2021,"11,483.65"
03/31/2021,"11,517.92"
03/30/2021,"11,483.02"
03/29/2021,"11,499.38"
03/26/2021,"11,492.70"
03/25/2021,"11,433.99"
03/24/2021,"11,382.52"
03/23/2021,"11,442.78"
03/22/2021,"11,465.21"
03/19/2021,"11,497.07"
03/18/2021,"11,560.84"
03/17/2021,"11,487.27"
03/16/2021,"11,417.87"
03/15/2021,"11,415.05"
03/12/2021,"11,350.96"
03/11/2021,"11,353.95"
03/10/2021,"11,365.19"
03/09/2021,"11,332.02"
03/08/2021,"11,350.12"
03/05/2021,"11,350.41"
03/04/2021,"11,338.98"
03/03/2021,"11,370.21"
03/02/2021,"11,352.03"
03/01/2021,"11,358.17"
02/26/2021,"11,353.53"
02/25/2021,"11,286.26"
02/24/2021,"11,381.91"
02/23/2021,"11,453.60"
02/22/2021,"11,467.04"
02/19/2021,"11,568.05"
02/18/2021,"11,521.02"
02/17/2021,"11,580.51"
02/16/2021,"11,528.24"
02/15/2021,"11,556.59"
02/12/2021,"11,592.37"
02/11/2021,"11,564.29"
02/10/2021,"11,651.23"
02/09/2021,"11,704.75"
02/08/2021,"11,713.50"
02/05/2021,"11,742.17"
02/04/2021,"11,751.10"
02/03/2021,"11,709.26"
02/02/2021,"11,637.51"
02/01/2021,"11,630.01"
01/29/2021,"11,657.63"
01/28/2021,"11,695.96"
01/27/2021,"11,716.70"
01/26/2021,"11,637.35"
01/25/2021,"11,563.73"
01/22/2021,"11,514.99"
01/21/2021,"11,516.01"
01/20/2021,"11,482.26"
01/19/2021,"11,465.25"
01/18/2021,"11,416.19"
01/15/2021,"11,326.79"
01/14/2021,"11,262.09"
01/13/2021,"11,296.99"
01/12/2021,"11,249.14"
01/08/2021,"11,271.23"
01/07/2021,"11,215.71"
01/06/2021,"11,253.70"
01/05/2021,"11,308.67"
01/04/2021,"11,287.38"
12/31/2020,"11,178.90"
12/30/2020,"11,211.49"
12/29/2020,"11,244.05"
12/28/2020,"11,247.33"
12/25/2020,"11,345.30"
12/24/2020,"11,394.16"
12/23/2020,"11,338.84"
12/22/2020,"11,164.60"
12/21/2020,"11,520.24"
12/18/2020,"11,551.20"
12/17/2020,"11,423.24"
12/16/2020,"11,361.94"
12/15/2020,"11,341.32"
12/14/2020,"11,366.94"
12/11/2020,"11,094.93"
12/10/2020,"11,086.89"
12/09/2020,"11,036.51"
12/08/2020,"11,011.15"
12/07/2020,"10,977.68"
12/04/2020,"10,973.08"
12/03/2020,"10,960.92"
12/02/2020,"10,960.59"
12/01/2020,"10,990.85"
11/30/2020,"10,888.99"
11/27/2020,"11,032.39"
11/26/2020,"11,105.48"
11/25/2020,"11,018.86"
11/24/2020,"10,923.55"
11/23/2020,"10,900.41"
11/20/2020,"10,760.56"
11/19/2020,"10,722.04"
11/17/2020,"10,708.54"
11/16/2020,"10,657.54"
11/13/2020,"10,602.14"
11/12/2020,"10,574.43"
11/11/2020,"10,597.37"
11/10/2020,"10,555.87"
11/09/2020,"10,360.98"
11/05/2020,"10,352.09"
11/04/2020,"10,360.37"
11/03/2020,"10,367.00"
11/02/2020,"10,460.66"
10/28/2020,"10,449.13"
10/27/2020,"10,444.59"
10/26/2020,"10,453.86"
10/23/2020,"10,374.82"
10/22/2020,"10,331.94"
10/21/2020,"10,276.47"
10/20/2020,"10,288.10"
10/19/2020,"10,323.93"
10/16/2020,"10,373.77"
10/15/2020,"10,385.66"
10/14/2020,"10,232.45"
10/13/2020,"10,204.05"
10/12/2020,"10,205.85"
10/09/2020,"10,177.17"
10/08/2020,"10,207.00"
10/07/2020,"10,173.22"
10/06/2020,"10,106.43"
10/05/2020,"10,086.09"
10/02/2020,"10,012.92"
10/01/2020,"9,985.48"
09/30/2020,"9,987.06"
09/29/2020,"9,991.21"
09/28/2020,"9,952.63"
09/25/2020,"9,995.34"
09/24/2020,"10,102.65"
09/23/2020,"10,119.53"
09/22/2020,"10,122.59"
09/21/2020,"10,057.38"
09/18/2020,"10,064.32"
09/17/2020,"10,101.06"
09/16/2020,"10,128.59"
09/15/2020,"10,164.32"
09/14/2020,"10,232.32"
09/11/2020,"10,246.29"
09/10/2020,"10,209.61"
09/09/2020,"10,187.91"
09/08/2020,"10,231.36"
09/07/2020,"10,190.57"
09/04/2020,"10,277.48"
09/03/2020,"10,286.51"
09/02/2020,"10,286.25"
09/01/2020,"10,134.80"
08/31/2020,"10,073.41"
08/28/2020,"10,149.46"
08/27/2020,"10,212.43"
08/26/2020,"10,241.47"
08/25/2020,"10,252.76"
08/24/2020,"10,247.00"
08/19/2020,"10,293.21"
08/18/2020,"10,295.28"
08/17/2020,"10,309.05"
08/13/2020,"10,273.01"
08/12/2020,"10,253.53"
08/11/2020,"10,269.66"
08/10/2020,"10,236.56"
08/07/2020,"10,229.14"
08/06/2020,"10,179.99"
08/05/2020,"10,158.36"
08/04/2020,"10,122.52"
08/03/2020,"10,149.14"
07/29/2020,"10,237.41"
07/28/2020,"10,206.64"
07/27/2020,"10,222.40"
07/24/2020,"10,228.08"
07/23/2020,"10,212.32"
07/22/2020,"10,228.64"
07/21/2020,"10,250.68"
07/20/2020,"10,279.94"
